z = 0.004 | Map = dA_z | Background = -0.016483053057464503
z = 0.004 | Map = dA_zz | Background = 3.713143252501147
z = 0.004 | Map = dA_zzz | Background = -200.60107645872728
z = 0.005 | Map = dA | Background = 0.000696161498597035
z = 0.005 | Map = dA_z | Background = -0.0054925695373943175
z = 0.005 | Map = dA_zz | Background = 3.0906330820802115
z = 0.005 | Map = dA_zzz | Background = -552.1572689085174
z = 0.006 | Map = dA | Background = 0.00011261984769087342
z = 0.006 | Map = dA_z | Background = -0.0010817125232001207
z = 0.006 | Map = dA_zz | Background = 0.826743482155619
z = 0.006 | Map = dA_zzz | Background = -462.01119850810085
z = 0.007 | Map = dA | Background = 2.9948019418965553e-5
z = 0.007 | Map = dA_z | Background = -0.00013400201542715617
z = 0.007 | Map = dA_zz | Background = 0.1266484042398791
z = 0.007 | Map = dA_zzz | Background = -94.40604705812792
z = 0.008 | Map = dA | Background = 1.9830422085787198e-5
z = 0.008 | Map = dA_z | Background = -1.0736917044387547e-5
z = 0.008 | Map = dA_zz | Background = 0.01211937454019309
z = 0.008 | Map = dA_zzz | Background = -11.085626487258084
z = 0.001 | Map = dA | Background = 0.03793001421366393
z = 0.001 | Map = dA_z | Background = 0.026137459732755754
z = 0.001 | Map = dA_zz | Background = -10.878150407452976
z = 0.001 | Map = dA_zzz | Background = 4406.205325008052
z = 0.002 | Map = dA | Background = 0.030996505467607436
z = 0.002 | Map = dA_z | Background = -0.018704992811041224
z = 0.002 | Map = dA_zz | Background = -10.765523128518062
z = 0.002 | Map = dA_zzz | Background = 4283.358541292437
z = 0.003 | Map = dA | Background = 0.012142696620147147
z = 0.003 | Map = dA_z | Background = -0.0227528543050321
z = 0.003 | Map = dA_zz | Background = 2.0679812496108663
z = 0.003 | Map = dA_zzz | Background = 2793.4528914035586
z = 0.004 | Map = dA | Background = 0.003471290054443939
z = 0.004 | Map = dA_z | Background = -0.016483053057464503
z = 0.004 | Map = dA_zz | Background = 3.713143252501147
z = 0.004 | Map = dA_zzz | Background = -200.60107645872728
z = 0.005 | Map = dA | Background = 0.000696161498597035
z = 0.005 | Map = dA_z | Background = -0.0054925695373943175
z = 0.005 | Map = dA_zz | Background = 3.0906330820802115
z = 0.005 | Map = dA_zzz | Background = -552.1572689085174
z = 0.006 | Map = dA | Background = 0.00011261984769087342
z = 0.006 | Map = dA_z | Background = -0.0010817125232001207
z = 0.006 | Map = dA_zz | Background = 0.826743482155619
z = 0.006 | Map = dA_zzz | Background = -462.01119850810085
z = 0.007 | Map = dA | Background = 2.9948019418965553e-5
z = 0.007 | Map = dA_z | Background = -0.00013400201542715617
z = 0.007 | Map = dA_zz | Background = 0.1266484042398791
z = 0.007 | Map = dA_zzz | Background = -94.40604705812792
z = 0.008 | Map = dA | Background = 1.9830422085787198e-5
z = 0.008 | Map = dA_z | Background = -1.0736917044387547e-5
z = 0.008 | Map = dA_zz | Background = 0.01211937454019309
z = 0.008 | Map = dA_zzz | Background = -11.085626487258084
